1	1	1
2	1	2
3	1	2
4	1	2
5	1	2
6	1	2
7	1	2
8	1	2
9	1	2
10	2	2
11	1	1
12	3	1
13	3	1
14	3	1
15	3	1
16	3	1
17	3	1
18	3	1
21	3	2
22	3	2
23	3	1
24	3	2
25	3	1
26	3	2
19	2	2
28	2	2
29	2	1
30	2	2
31	2	2
32	2	2
33	2	2
34	2	2
35	2	1
36	2	2
37	2	2
38	2	2
39	2	2
40	2	1
41	2	2
42	2	2
43	2	2
44	2	1
45	2	2
46	2	2
47	2	1
48	2	2
49	2	2
50	2	2
51	2	2
52	2	2
53	2	2
54	2	2
55	2	2
56	2	2
57	2	1
58	2	1
59	2	1
60	2	1
61	2	1
62	2	1
63	2	1
64	2	1
65	2	1
66	2	2
67	2	2
68	2	1
69	2	2
70	2	2
71	2	2
72	2	2
73	2	1
74	2	1
75	2	2
76	2	2
77	2	2
78	2	1
79	2	1
80	2	1
81	2	1
82	2	1
83	2	1
84	2	1
85	2	1
86	2	1
87	2	2
88	2	2
89	2	1
90	2	1
91	2	1
92	2	1
93	2	1
94	2	1
27	3	1
96	3	1
97	3	2
20	1	1
99	1	1
95	2	1
100	1	1
98	3	1
